Feature,Cohort,effect_score,strength,label
GZMK-like score,Healthy non-HDL,1.0,1.5100415205751654,p=0.0309
GZMK-like score,PBMC non-HDL,1.0,1.8601209135987635,p=0.0138
GZMK-like score,Plaque scRNA,0.6,1.0213630516155257,p=0.0952
GZMK-like score,IPH plaque,1.0,3.4647058799572297,p=3.4e-4
NKG7,Healthy non-HDL,0.4,1.0,support
NKG7,PBMC non-HDL,1.0,2.1249387366083,p=0.0075
NKG7,Plaque scRNA,0.6,1.0,support
NKG7,IPH plaque,1.0,3.764471553092451,p=1.7e-4
GNLY,Healthy non-HDL,0.3,1.0,support
GNLY,PBMC non-HDL,0.8,2.0,cluster
GNLY,Plaque scRNA,0.7,1.3,support
GNLY,IPH plaque,1.0,2.6439741428068775,p=0.0023
KLRD1,Healthy non-HDL,0.3,1.0,support
KLRD1,PBMC non-HDL,0.4,1.0,support
KLRD1,Plaque scRNA,0.7,1.3,support
KLRD1,IPH plaque,1.0,2.095284454721319,p=0.008
TYROBP,Healthy non-HDL,0.3,1.0,support
TYROBP,PBMC non-HDL,0.8,2.0,cluster
TYROBP,Plaque scRNA,0.2,0.5,weak
TYROBP,IPH plaque,1.0,6.533132379645891,p=2.9e-7
Cytotoxic/NK effector,Healthy non-HDL,0.5,1.2,support
Cytotoxic/NK effector,PBMC non-HDL,0.8,1.8,support
Cytotoxic/NK effector,Plaque scRNA,0.7,1.4,support
Cytotoxic/NK effector,IPH plaque,1.0,4.2,module
Interferon response,Healthy non-HDL,0.0,0.0,NA
Interferon response,PBMC non-HDL,0.2,0.5,weak
Interferon response,Plaque scRNA,0.5,1.2,support
Interferon response,IPH plaque,1.0,4.8,module
