Feature,Feature_type,Effect_Asym_minus_Sym,Exact_permutation_p,Status
GZMK,Gene expression,0.03737857202349604,0.9047619047619048,Not significant
NKG7,Gene expression,0.19486971897914973,0.38095238095238093,Not significant
GNLY,Gene expression,0.4831827325598157,0.19047619047619047,Not significant
KLRD1,Gene expression,0.37560687861916087,0.047619047619047616,Nominally supported
PRF1,Gene expression,0.3867665050722895,0.5238095238095238,Not significant
GZMB,Gene expression,0.1435839268758552,0.8571428571428571,Not significant
FCGR3A,Gene expression,0.022580143564032262,0.9523809523809523,Not significant
TYROBP,Gene expression,-0.20341364394520456,0.47619047619047616,Not significant
GZMK-like score,Module score,0.2727594755454059,0.09523809523809523,Trend
Cytotoxic core score,Module score,0.31680195242125464,0.38095238095238093,Not significant
NK core score,Module score,0.2125614215532301,0.23809523809523808,Not significant
Cytotoxic/NK effector,Module score,0.20045375167501378,0.6190476190476191,Not significant
